round,reward
1357,0
1358,0
1359,0
1360,209.15685876670003
1361,100
1362,50.0
1363,145.32335368311323
1364,50.0
1365,100
1366,50.0
1367,100
1368,50.0
1369,100
1370,0
1371,123.04626433104791
1372,0
1373,242.03624748084894
1374,0
1375,100
1376,0
1377,100
1378,0
1379,100
1380,0
1381,132.34246075846144
1382,55.6031203336805
1383,124.8233001327952
1384,95.381890575724
1385,164.51440861843966
1386,50.0
1387,150.65931051252983
1388,61.242750586147196
1389,244.0565712588519
1390,99.94782455303083
1391,100
1392,0
1393,100
1394,0
1395,100
1396,0
1397,100
1398,0
1399,217.60708604349148
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,50.0
1412,0
1413,90.02602696129472
1414,0
1415,140.527064785139
1416,0
1417,64.73048498950935
1418,0
1419,50.0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,377.35563641143125
1428,0
1429,0
1430,0
1431,0
1432,125.99443312225404
1433,112.5800884406974
1434,0
1435,100
1436,0
1437,0
1438,157.06653097193566
1439,180.58925420210795
1440,0
1441,100
1442,0
1443,207.89618254101538
1444,0
1445,124.50992545109237
1446,0
1447,100
1448,0
1449,100
1450,0
1451,113.776295495488
1452,0
1453,100
1454,0
1455,50.0
1456,50.0
1457,100
1458,0
1459,100
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,100
1472,0
1473,100
1474,0
1475,136.15627408435657
1476,0
1477,100
1478,0
1479,207.29674271655503
1480,0
1481,100
1482,100
1483,262.20912856761856
1484,100
1485,253.57547059118974
1486,120.21279529098439
1487,133.28773529160497
1488,100
1489,100
1490,167.00748488042603
1491,100
1492,178.75263849327365
